part_no,parent,type,name,ref,oem_code,qty,cad,material_spec,source,price_eur,issue,status
OD-E02,OD-E00,OEM,Control board assembly (front buttons) — Path 1,15,7313285189,1,SCAN,,FixPart / eBay,15–25,#8,todo
OD-E03,OD-E00,OEM,Microswitch,16,5113210421,1,CALIPER,,FixPart,4,#8,todo
OD-E04,OD-E00,OEM,On/off push button,28,5913216331,1,CALIPER,,FixPart,3,,todo
OD-E05,OD-E00,OEM,Unipolar switch 16 A 250 V,29,5128109300,1,CALIPER,,FixPart,4,,todo
OD-E06,OD-E00,OEM,Power supply cord with plug (region-specific; AU code shown),53,5013276449,1,ENVELOPE,,FixPart / generic,8,,todo
OD-E07,OD-E00,OEM,6-pole wiring,56,5013211961,1,ENVELOPE,,FixPart,10 (set),,todo
OD-E08,OD-E00,OEM,Wiring with connectors,57,5032509200,1,ENVELOPE,,FixPart,(set),,todo
OD-E09,OD-E00,OEM,Wiring,58,5013276049,1,ENVELOPE,,FixPart,(set),,todo
OD-E51,OD-E00,ELEC,ESP32 dev board — Path 2,,,1,VENDOR,3.3 V WiFi,AliExpress,5–10,,todo
OD-E52,OD-E00,ELEC,SSR for heater — Path 2,,,1,VENDOR,≥25 A zero-cross mains-rated,RS / TME (no no-name for mains),8–15,,todo
OD-E53,OD-E00,ELEC,Relay / SSR for pump — Path 2,,,1,VENDOR,≥2 A 230 V,RS / TME,5–12,,todo
OD-E54,OD-E00,ELEC,Thermocouple type K — Path 2,,,1,ENVELOPE,glass-braid,Pimoroni / AliExpress,20 (with OD-E55),,todo
OD-E55,OD-E00,ELEC,MAX31855 thermocouple board — Path 2,,,1,VENDOR,,Pimoroni / AliExpress,(with OD-E54),,todo
OD-E56,OD-E00,ELEC,Pressure transducer (optional) — Path 2,,,1,VENDOR,0–300 PSI G1/4,per CaiJonas repo BOM,15,,todo
OD-E57,OD-E00,STD,G1/4 tee for pressure transducer (optional),,,1,VENDOR,brass; 15 bar / 125 °C rated,hardware / AliExpress,5,,todo
OD-E58,OD-E00,ELEC,Logic PSU — Path 2,,,1,VENDOR,5 V or 24 V,Mean Well-style,10,,todo
OD-E59,OD-E00,MFG,SSR heat-sink plate,,,1,DESIGN,aluminium,local shop / scrap,—,,proposed
OD-E60,OD-E00,STD,IEC inlet with fuse (alternative to OD-E06),,,1,VENDOR,,TME / AliExpress,4,,todo
OD-C00,OD-000,ASM,Chassis & body,,,1,DESIGN,,,,,todo
OD-C01,OD-C00,PRINT,Base frame / floor plate,,,1,DESIGN,ASA,printed,print,,proposed
OD-C02,OD-C00,PRINT,Wet/electric bulkhead with drainage path,,,1,DESIGN,ASA,printed,print,,proposed
OD-C03,OD-C00,PRINT,Pump cradle (sleeve + spring suspension),,,1,DESIGN,PETG,printed,print,#1,proposed
OD-C04,OD-C00,PRINT,Thermoblock mount (≥10 mm air gap to printed walls),,,1,DESIGN,ASA / PC,printed,print,#2,proposed
OD-C05,OD-C00,PRINT,Group head carrier (ties OD-G00 to frame),,,1,DESIGN,ASA,printed,print,#3,proposed
OD-C06,OD-C00,PRINT,Water tank dock / inlet seat,,,1,DESIGN,PETG,printed,print,#5,proposed
OD-C07,OD-C00,PRINT,Valve & flowmeter mount (OPV reachable without disassembly),,,1,DESIGN,PETG,printed,print,#6,proposed
OD-C08,OD-C00,PRINT,Electronics bay tray,,,1,DESIGN,PETG,printed,print,#8,proposed
OD-C09,OD-C00,PRINT,Front panel with button bezel,,,1,DESIGN,ASA,printed,print,#8,proposed
OD-C10,OD-C00,PRINT,Top panel (removable — 4 screws),,,1,DESIGN,ASA,printed,print,,proposed
OD-C11,OD-C00,PRINT,Back panel (removable — 4 screws),,,1,DESIGN,ASA,printed,print,,proposed
OD-C12,OD-C00,PRINT,Left side panel,,,1,DESIGN,ASA / PETG or 3 mm acrylic,printed,print,,proposed
OD-C13,OD-C00,PRINT,Right side panel,,,1,DESIGN,ASA / PETG or 3 mm acrylic,printed,print,,proposed
OD-C14,OD-C00,PRINT,Cable strain relief / grommet,,,2,DESIGN,TPU,printed,print,,proposed
OD-C15,OD-C00,PRINT,Foot (alternative to OD-C25/526),,,4,DESIGN,TPU,printed,print,,proposed
OD-C16,OD-C00,PRINT,Corner bracket for acrylic skins (optional),,,16,DESIGN,ASA / PETG,printed,print,,proposed
OD-C21,OD-C00,OEM,Drip tray (or printed replacement),09,5313249971,1,SCAN,,FixPart / printed,8–12,#9,todo
OD-C22,OD-C21,OEM,Float,08,5313249981,1,SCAN,,FixPart,(with OD-C21),#9,todo
OD-C23,OD-C00,OEM,Cup holder,07,6013214801,1,CALIPER,,FixPart / printed,5,#9,todo
OD-C24,OD-C00,OEM,Cup holder with frame,12,5513226761,1,CALIPER,,FixPart / printed,(with OD-C23),#9,todo
OD-C25,OD-C00,OEM,Rubber foot pad,34,5313229381,2,CALIPER,rubber,FixPart,4 (set),,todo
OD-C26,OD-C00,OEM,Rubber foot pad,76,5313274719,2,CALIPER,rubber,FixPart,(set),,todo
OD-F01,OD-000,STD,M3 heat-set insert,,,~40,VENDOR,brass M3,AliExpress,10 (set),,todo
OD-F02,OD-000,STD,M3×8 screw,,,~40,VENDOR,ISO 7380 / DIN 912 A2,AliExpress,(set),,todo
OD-F03,OD-000,STD,Acrylic sheet 3 mm (optional skins),,,per design,—,PMMA,local laser / leftover stock,25,,todo
OD-F04,OD-000,STD,Food-safe silicone tube 4×2 mm (routing reserve),,,1 m,ENVELOPE,silicone,AliExpress,5,,todo
OD-F05,OD-000,STD,High-temp epoxy (steam port blank),,,1,—,125 °C / 15 bar,hardware store,8,,todo
OD-F06,OD-000,STD,6.3 mm insulated spade terminals + 105 °C wire (own looms),,,1 set,—,,TME / AliExpress,5,,todo
OD-S00,OD-000,ASM,Steam system (phase 2 — not in v1),,,1,DESIGN,,,,,deferred
OD-S01,OD-S00,OEM,Steam valve assembly,17,AS00002707,1,SCAN,,FixPart,15,,deferred
OD-S02,OD-S00,OEM,Steam hose assembly,10,AS00002705,1,ENVELOPE,,FixPart,12,,deferred
OD-S03,OD-S00,OEM,Steam knob,13,7313285479,1,CALIPER,,FixPart,6,,deferred
OD-S04,OD-S00,OEM,Nozzle,77,AS00002710,1,CALIPER,,FixPart,5,,deferred
OD-S05,OD-S00,OEM,Dispenser cover,11,5313237931,1,CALIPER,,FixPart,4,,deferred
OD-S06,OD-S00,OEM,Steam valve bracket,,,1,SCAN,,donor,,,deferred
OD-R01,,REF,Upper cover (OEM case — reference only),01,7313285179,0,—,,donor,—,,ref
OD-R02,,REF,Left profile (OEM case — reference only),19,5313251321,0,—,,donor,—,,ref
OD-R03,,REF,Right profile (OEM case — reference only),26,5313251311,0,—,,donor,—,,ref
OD-R04,,REF,Coffee measuring spoon (accessory),02,7313286119,0,—,,donor,—,,ref
OD-R05,,REF,Cleaning tool (accessory),000,AS00003850,0,—,,donor,—,,ref
OD-R06,,REF,Ecomulticlean 10 ml vial (accessory),000,AS00000378,0,—,,donor,—,,ref
OD-T01,,FIX,Group head bench pressure-test rig (M1 close-out),,,1,DESIGN,,printed + fittings,—,#3,proposed
